Sector,Ticker,Industry,Index,SectorRank,SectorCount
Communication Services,GOOG,Interactive Media & Services,97.4,1,20
Communication Services,META,Interactive Media & Services,91.8,2,20
Communication Services,VZ,Integrated Telecommunication Services,60.2,3,20
Communication Services,NFLX,Movies & Entertainment,59.6,4,20
Communication Services,TMUS,Wireless Telecommunication Services,56.3,5,20
Communication Services,EA,Interactive Home Entertainment,52.1,6,20
Communication Services,TTD,Advertising,50.5,7,20
Communication Services,MTCH,Interactive Media & Services,49.5,8,20
Communication Services,T,Integrated Telecommunication Services,49.0,9,20
Communication Services,OMC,Advertising,41.2,10,20
Communication Services,DIS,Movies & Entertainment,38.3,11,20
Communication Services,TKO,Movies & Entertainment,34.3,12,20
Communication Services,NWS,Publishing,29.7,13,20
Communication Services,CMCSA,Cable & Satellite,28.8,14,20
Communication Services,WBD,Broadcasting,27.0,15,20
Communication Services,PSKY,Movies & Entertainment,23.4,16,20
Communication Services,CHTR,Cable & Satellite,19.7,17,20
Communication Services,LYV,Movies & Entertainment,15.3,18,20
Communication Services,FOX,Broadcasting,11.2,19,20
Communication Services,TTWO,Interactive Home Entertainment,8.7,20,20
Consumer Discretionary,AMZN,Broadline Retail,98.8,1,48
Consumer Discretionary,EBAY,Broadline Retail,86.7,2,48
Consumer Discretionary,DASH,Specialized Consumer Services,80.7,3,48
Consumer Discretionary,EXPE,"Hotels, Resorts & Cruise Lines",79.9,4,48
Consumer Discretionary,TSLA,Automobile Manufacturers,78.1,5,48
Consumer Discretionary,GM,Automobile Manufacturers,75.4,6,48
Consumer Discretionary,ABNB,"Hotels, Resorts & Cruise Lines",72.8,7,48
Consumer Discretionary,APTV,Automotive Parts & Equipment,72.3,8,48
Consumer Discretionary,HD,Home Improvement Retail,65.2,9,48
Consumer Discretionary,BKNG,"Hotels, Resorts & Cruise Lines",61.4,10,48
Consumer Discretionary,HAS,Leisure Products,60.9,11,48
Consumer Discretionary,SBUX,Restaurants,60.9,12,48
Consumer Discretionary,YUM,Restaurants,58.6,13,48
Consumer Discretionary,LOW,Home Improvement Retail,55.3,14,48
Consumer Discretionary,BBY,Computer & Electronics Retail,52.7,15,48
Consumer Discretionary,F,Automobile Manufacturers,52.1,16,48
Consumer Discretionary,CVNA,Automotive Retail,51.4,17,48
Consumer Discretionary,NKE,"Apparel, Accessories & Luxury Goods",49.4,18,48
Consumer Discretionary,ULTA,Other Specialty Retail,49.2,19,48
Consumer Discretionary,TPR,"Apparel, Accessories & Luxury Goods",47.2,20,48
Consumer Discretionary,MAR,"Hotels, Resorts & Cruise Lines",45.5,21,48
Consumer Discretionary,WSM,Homefurnishing Retail,45.4,22,48
Consumer Discretionary,RCL,"Hotels, Resorts & Cruise Lines",45.1,23,48
Consumer Discretionary,MCD,Restaurants,44.2,24,48
Consumer Discretionary,DPZ,Restaurants,43.6,25,48
Consumer Discretionary,HLT,"Hotels, Resorts & Cruise Lines",43.4,26,48
Consumer Discretionary,LEN,Homebuilding,43.1,27,48
Consumer Discretionary,TSCO,Other Specialty Retail,41.4,28,48
Consumer Discretionary,LULU,"Apparel, Accessories & Luxury Goods",40.7,29,48
Consumer Discretionary,CMG,Restaurants,40.5,30,48
Consumer Discretionary,CCL,"Hotels, Resorts & Cruise Lines",35.6,31,48
Consumer Discretionary,GPC,Distributors,35.5,32,48
Consumer Discretionary,RL,"Apparel, Accessories & Luxury Goods",34.9,33,48
Consumer Discretionary,GRMN,Consumer Electronics,32.6,34,48
Consumer Discretionary,MGM,Casinos & Gaming,31.5,35,48
Consumer Discretionary,AZO,Automotive Retail,26.8,36,48
Consumer Discretionary,DECK,Footwear,26.2,37,48
Consumer Discretionary,NCLH,"Hotels, Resorts & Cruise Lines",26.0,38,48
Consumer Discretionary,WYNN,Casinos & Gaming,25.1,39,48
Consumer Discretionary,DRI,Restaurants,23.3,40,48
Consumer Discretionary,PHM,Homebuilding,20.8,41,48
Consumer Discretionary,POOL,Distributors,19.5,42,48
Consumer Discretionary,LVS,Casinos & Gaming,16.1,43,48
Consumer Discretionary,TJX,Apparel Retail,11.2,44,48
Consumer Discretionary,ROST,Apparel Retail,9.9,45,48
Consumer Discretionary,DHI,Homebuilding,9.0,46,48
Consumer Discretionary,ORLY,Automotive Retail,6.9,47,48
Consumer Discretionary,NVR,Homebuilding,4.3,48,48
Consumer Staples,WMT,Consumer Staples Merchandise Retail,97.9,1,37
Consumer Staples,TGT,Consumer Staples Merchandise Retail,77.6,2,37
Consumer Staples,PG,Personal Care Products,73.8,3,37
Consumer Staples,PEP,Soft Drinks & Non-alcoholic Beverages,73.1,4,37
Consumer Staples,CVS,Drug Retail,68.9,5,37
Consumer Staples,EL,Personal Care Products,68.2,6,37
Consumer Staples,KHC,Packaged Foods & Meats,65.3,7,37
Consumer Staples,CL,Household Products,59.8,8,37
Consumer Staples,KR,Food Retail,58.7,9,37
Consumer Staples,KO,Soft Drinks & Non-alcoholic Beverages,58.6,10,37
Consumer Staples,COST,Consumer Staples Merchandise Retail,56.3,11,37
Consumer Staples,KVUE,Personal Care Products,53.8,12,37
Consumer Staples,PM,Tobacco,53.0,13,37
Consumer Staples,MDLZ,Packaged Foods & Meats,52.2,14,37
Consumer Staples,GIS,Packaged Foods & Meats,49.6,15,37
Consumer Staples,HSY,Packaged Foods & Meats,48.4,16,37
Consumer Staples,MKC,Packaged Foods & Meats,47.7,17,37
Consumer Staples,SYY,Food Distributors,47.0,18,37
Consumer Staples,KDP,Soft Drinks & Non-alcoholic Beverages,44.5,19,37
Consumer Staples,CAG,Packaged Foods & Meats,44.2,20,37
Consumer Staples,KMB,Household Products,43.7,21,37
Consumer Staples,CLX,Household Products,41.8,22,37
Consumer Staples,CHD,Household Products,40.1,23,37
