Sector,Ticker,Index,Signal,ElapsedSeconds,Status
Communication Services,META,91.8,Underweight,275,ok
Communication Services,VZ,60.2,Hold,294,ok
Communication Services,GOOG,97.4,Underweight,303,ok
Communication Services,TMUS,56.3,Overweight,311,ok
Communication Services,TTD,50.5,Underweight,319,ok
Communication Services,NFLX,59.6,Overweight,326,ok
Communication Services,MTCH,49.5,Overweight,286,ok
Communication Services,OMC,41.2,Underweight,269,ok
Communication Services,T,49.0,Hold,294,ok
Communication Services,NWS,29.7,Underweight,270,ok
Communication Services,TKO,34.3,Hold,274,ok
Communication Services,DIS,38.3,Hold,302,ok
Communication Services,LYV,15.3,Underweight,264,ok
Communication Services,WBD,27.0,Underweight,297,ok
Communication Services,PSKY,23.4,Underweight,305,ok
Communication Services,FOX,11.2,Hold,292,ok
Communication Services,CHTR,19.7,Underweight,329,ok
Communication Services,TTWO,8.7,Underweight,305,ok
Consumer Discretionary,AMZN,98.8,Underweight,279,ok
Consumer Discretionary,EBAY,86.7,Underweight,313,ok
Consumer Discretionary,TSLA,78.1,Underweight,267,ok
Consumer Discretionary,DASH,80.7,Underweight,310,ok
Consumer Discretionary,EXPE,79.9,Overweight,307,ok
Consumer Discretionary,GM,75.4,Underweight,317,ok
Consumer Discretionary,ABNB,72.8,Underweight,307,ok
Consumer Discretionary,BKNG,61.4,Hold,296,ok
Consumer Discretionary,APTV,72.3,Underweight,324,ok
Consumer Discretionary,HD,65.2,Underweight,317,ok
Consumer Discretionary,HAS,60.9,Underweight,306,ok
Consumer Discretionary,SBUX,60.9,Hold,321,ok
Consumer Discretionary,YUM,58.6,Underweight,299,ok
Consumer Discretionary,F,52.1,Underweight,272,ok
Consumer Discretionary,LOW,55.3,Underweight,297,ok
Consumer Discretionary,CVNA,51.4,Underweight,301,ok
Consumer Discretionary,BBY,52.7,Underweight,306,ok
Consumer Discretionary,NKE,49.4,Underweight,293,ok
Consumer Discretionary,ULTA,49.2,Overweight,304,ok
Consumer Discretionary,MAR,45.5,Underweight,298,ok
Consumer Discretionary,TPR,47.2,Underweight,309,ok
Consumer Discretionary,WSM,45.4,Underweight,299,ok
Consumer Discretionary,RCL,45.1,Hold,300,ok
Consumer Discretionary,MCD,44.2,Hold,301,ok
Consumer Discretionary,DPZ,43.6,Underweight,291,ok
Consumer Discretionary,HLT,43.4,Underweight,290,ok
Consumer Discretionary,TSCO,41.4,Underweight,291,ok
Consumer Discretionary,LULU,40.7,Underweight,303,ok
Consumer Discretionary,LEN,43.1,Underweight,333,ok
Consumer Discretionary,CMG,40.5,Underweight,293,ok
Consumer Discretionary,CCL,35.6,Underweight,275,ok
Consumer Discretionary,GPC,35.5,Underweight,307,ok
Consumer Discretionary,RL,34.9,Underweight,298,ok
Consumer Discretionary,GRMN,32.6,Underweight,305,ok
Consumer Discretionary,MGM,31.5,Underweight,332,ok
Consumer Discretionary,AZO,26.8,Hold,312,ok
Consumer Discretionary,DECK,26.2,Hold,325,ok
Consumer Discretionary,NCLH,26.0,Underweight,274,ok
Consumer Discretionary,WYNN,25.1,Underweight,306,ok
Consumer Discretionary,DRI,23.3,Underweight,323,ok
Consumer Discretionary,PHM,20.8,Underweight,293,ok
Consumer Discretionary,POOL,19.5,Underweight,291,ok
Consumer Discretionary,TJX,11.2,Underweight,310,ok
Consumer Discretionary,LVS,16.1,Underweight,334,ok
Consumer Discretionary,ROST,9.9,Hold,300,ok
Consumer Discretionary,ORLY,6.9,Underweight,271,ok
Consumer Discretionary,NVR,4.3,Underweight,268,ok
Consumer Discretionary,DHI,9.0,Hold,300,ok
Consumer Staples,WMT,97.9,Underweight,303,ok
Consumer Staples,TGT,77.6,Hold,297,ok
Consumer Staples,PG,73.8,Underweight,298,ok
Consumer Staples,PEP,73.1,Underweight,297,ok
Consumer Staples,CVS,68.9,Underweight,307,ok
Consumer Staples,EL,68.2,Underweight,303,ok
Consumer Staples,KHC,65.3,Underweight,299,ok
Consumer Staples,CL,59.8,Hold,298,ok
Consumer Staples,KR,58.7,Underweight,298,ok
Consumer Staples,KO,58.6,Underweight,302,ok
Consumer Staples,COST,56.3,Underweight,320,ok
Consumer Staples,KVUE,53.8,Underweight,301,ok
Consumer Staples,PM,53.0,Hold,308,ok
Consumer Staples,MDLZ,52.2,Underweight,320,ok
Consumer Staples,GIS,49.6,Underweight,304,ok
Consumer Staples,MKC,47.7,Underweight,274,ok
Consumer Staples,SYY,47.0,Underweight,297,ok
Consumer Staples,HSY,48.4,Underweight,332,ok
Consumer Staples,KDP,44.5,Underweight,298,ok
Consumer Staples,CAG,44.2,Underweight,305,ok
Consumer Staples,KMB,43.7,Underweight,302,ok
Consumer Staples,CHD,40.1,Underweight,277,ok
Consumer Staples,CLX,41.8,Underweight,306,ok
Consumer Staples,HRL,37.4,Underweight,310,ok
